idNode;index;label;level;mass;type;role;pointCount;contourLength1;contourLength2;subtreeCost;tsvNorm;refGraph
77;3;7;3;11;101;2;2;0;0;5;4.65369253920931;6
80;4;8;4;5;101;2;13;0;0;3;2.82842712474619;6
88;5;9;5;1;101;4;95;0;0;1;0;6
160;6;10;5;1;101;4;85;0;0;1;0;6
222;7;11;4;1;101;4;87;0;0;1;0;6
271;8;12;3;1;101;4;113;0;0;1;0;6
341;9;13;2;29;103;2;2;0;0;9;5.96652786000311;6
344;10;14;3;1;101;4;104;0;0;1;0;6
399;11;15;3;19;101;2;4;0;0;7;5.52395992228424;6
402;12;16;4;11;101;2;5;0;0;5;4.65369253920931;6
405;13;17;5;1;101;4;108;0;0;1;0;6
461;14;18;5;5;101;2;5;0;0;3;2.82842712474619;6
469;15;19;6;1;101;4;107;0;0;1;0;6
521;16;20;6;1;101;4;105;0;0;1;0;6
561;17;21;4;1;101;4;105;0;0;1;0;6
608;27;22;2;19;103;2;5;0;0;7;5.52395992228424;6
614;28;23;3;11;101;2;7;0;0;5;4.65369253920931;6
617;29;24;4;1;101;4;82;0;0;1;0;6
652;30;25;4;5;101;2;5;0;0;3;2.82842712474619;6
655;31;26;5;1;101;4;84;0;0;1;0;6
698;32;27;5;1;101;4;97;0;0;1;0;6
748;33;28;3;1;101;4;113;0;0;1;0;6
804;26;29;3;1;101;4;102;0;0;1;0;6
866;25;30;4;1;101;4;110;0;0;1;0;6
943;22;31;5;5;101;2;5;0;0;3;2.82842712474619;6
950;23;32;6;1;101;4;97;0;0;1;0;6
1021;24;33;6;1;101;4;103;0;0;1;0;6
1089;0;#;0;163;105;1;0;0;0;34;9.84296812246841;6
31;37;1;5;1;101;4;91;0;0;1;0;7
62;36;2;4;5;101;2;16;0;0;3;2.82842712474619;7
70;35;3;3;11;101;2;5;0;0;5;4.65369253920931;7
75;40;4;3;1;101;4;87;0;0;1;0;7
126;34;5;2;19;101;2;9;0;0;7;5.52395992228424;7
133;20;6;2;48;101;2;8;0;0;14;7.19506443737261;7
137;21;7;3;19;101;2;3;0;0;7;5.52395992228424;7
142;22;8;4;11;101;2;5;0;0;5;4.65369253920931;7
151;23;9;5;1;101;4;86;0;0;1;0;7
217;24;10;5;5;101;2;4;0;0;3;2.82842712474619;7
220;25;11;6;1;101;4;102;0;0;1;0;7
278;26;12;6;1;101;4;113;0;0;1;0;7
354;27;13;4;1;101;4;102;0;0;1;0;7
401;28;14;3;15;101;2;3;0;0;6;5.03987491762197;7
404;29;15;4;8;101;2;6;0;0;4;3.38705417066211;7
408;31;16;6;1;101;4;18;0;0;1;0;7
423;30;17;5;3;101;2;100;0;0;2;1;7
474;32;18;5;1;101;4;110;0;0;1;0;7
525;33;19;4;1;101;4;101;0;0;1;0;7
565;1;20;1;159;104;2;2;0;0;40;12.8509618628144;7
567;2;21;2;11;103;2;9;0;0;5;4.65369253920931;7
575;3;22;3;5;101;2;9;0;0;3;2.82842712474619;7
581;4;23;4;1;101;4;100;0;0;1;0;7
622;5;24;4;1;101;4;89;0;0;1;0;7
658;6;25;3;1;101;4;85;0;0;1;0;7
704;7;26;2;41;103;2;8;0;0;13;7.05801293959974;7
710;8;27;3;17;101;2;4;0;0;7;5.65685424949238;7
714;9;28;4;5;101;2;5;0;0;3;2.82842712474619;7
716;10;29;5;1;101;4;96;0;0;1;0;7
758;11;30;5;1;101;4;86;0;0;1;0;7
792;12;31;4;5;101;2;7;0;0;3;2.82842712474619;7
802;13;32;5;1;101;4;102;0;0;1;0;7
868;14;33;5;1;101;4;112;0;0;1;0;7
949;15;34;3;11;101;2;3;0;0;5;4.65369253920931;7
952;16;35;4;5;101;2;7;0;0;3;2.82842712474619;7
962;17;36;5;1;101;4;114;0;0;1;0;7
1042;18;37;5;1;101;4;108;0;0;1;0;7
1101;19;24;4;1;101;4;100;0;0;1;0;7
1156;39;39;4;1;101;4;104;0;0;1;0;7
1215;38;40;5;1;101;4;79;0;0;1;0;7
1272;0;#;0;200;105;1;0;0;0;41;10.0928139480568;7
30;23;1;7;1;101;4;75;0;0;1;0;8
53;22;2;6;5;101;2;14;0;0;3;2.82842712474619;8
57;21;3;5;11;101;2;18;0;0;5;4.65369253920931;8
66;20;4;4;19;101;2;5;0;0;7;5.52395992228424;8
71;19;5;3;43;101;2;2;0;0;13;7.09492093915025;8
74;32;6;3;1;101;4;108;0;0;1;0;8
150;18;7;2;59;101;2;11;0;0;15;6.42646688039173;8
161;33;8;2;1;101;4;104;0;0;1;0;8
226;1;9;1;147;104;2;2;0;0;33;11.5722300407468;8
229;2;10;2;53;103;2;12;0;0;15;7.35248792842438;8
239;3;11;3;19;101;2;2;0;0;7;5.52395992228424;8
242;4;12;4;11;101;2;17;0;0;5;4.65369253920931;8
247;5;13;5;5;101;2;16;0;0;3;2.82842712474619;8
261;6;14;6;1;101;4;65;0;0;1;0;8
299;7;15;6;1;101;4;77;0;0;1;0;8
358;8;16;5;1;101;4;75;0;0;1;0;8
391;9;17;4;1;101;4;96;0;0;1;0;8
446;10;18;3;19;101;2;4;0;0;7;5.52395992228424;8
448;11;19;4;11;101;2;16;0;0;5;4.65369253920931;8
454;12;20;5;5;101;2;16;0;0;3;2.82842712474619;8
462;13;21;6;1;101;4;72;0;0;1;0;8
500;14;22;6;1;101;4;79;0;0;1;0;8
539;15;23;5;1;101;4;96;0;0;1;0;8
579;16;24;4;1;101;4;108;0;0;1;0;8
624;17;25;2;1;101;4;105;0;0;1;0;8
669;27;26;4;11;101;2;16;0;0;5;4.65369253920931;8
681;28;27;5;1;101;4;94;0;0;1;0;8
725;29;28;5;5;101;2;17;0;0;3;2.82842712474619;8
734;30;29;6;1;101;4;77;0;0;1;0;8
771;31;30;6;1;101;4;72;0;0;1;0;8
808;26;31;5;1;101;4;96;0;0;1;0;8
872;25;32;6;1;101;4;75;0;0;1;0;8
924;24;33;7;1;101;4;65;0;0;1;0;8
972;0;#;0;181;105;1;0;0;0;34;9.93975646094991;8
34;16;1;6;1;101;4;79;0;0;1;0;9
105;15;2;5;5;101;2;26;0;0;3;2.82842712474619;9
129;14;3;4;11;101;2;5;0;0;5;4.65369253920931;9
134;13;4;3;19;101;2;7;0;0;7;5.52395992228424;9
136;12;5;2;29;101;2;6;0;0;9;5.96652786000311;9
147;1;6;1;81;104;2;11;0;0;21;11.0391032097157;9
156;2;7;2;29;103;2;8;0;0;9;5.96652786000311;9
165;3;8;3;19;101;2;10;0;0;7;5.52395992228424;9
